Value|Category|Answer|Question
100|3-LETTER WORDS|the ant|In the title of an Aesop fable, this insect shared billing with a grasshopper
200|3-LETTER WORDS|the cud|Cows regurgitate this from the first stomach to the mouth & chew it again
300|3-LETTER WORDS|imp|A small demon, or a mischievous child (who might be a little demon!)
400|3-LETTER WORDS|era|In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs
500|3-LETTER WORDS|ply|A single layer of paper, or to perform one's craft diligently
100|PARTS OF PEACH|the skin|If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine
200|PARTS OF PEACH|H2O|Peaches are more than 80% this compound
300|PARTS OF PEACH|the stone|5-letter word for the hard interior of a peach
400|PARTS OF PEACH|leaves|These parts of a peach tree are glossy green, pointed & lance shaped
500|PARTS OF PEACH|blossoms|These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink
100|BE FRUITFUL & MULTIPLY|48|4 x 12
200|BE FRUITFUL & MULTIPLY|98|7 x 7 x 2
300|BE FRUITFUL & MULTIPLY|360|3 x 4 x 5 x 6
400|BE FRUITFUL & MULTIPLY|750|5 x 10 x 15
500|BE FRUITFUL & MULTIPLY|2,070|2 x 1,035
100|RHYMES WITH SMART|heart|Blood pumper
200|RHYMES WITH SMART|a dart|Small, slender missile thrown at a board in a game
300|RHYMES WITH SMART|a part|It can be a separating line in your hair or a role in a play
400|RHYMES WITH SMART|a chart|A graphic representation of information
500|RHYMES WITH SMART|Mozart|Composer Wolfgang
100|BACKWORDS|Trams (smart)|We'll look smart in these vehicles that returned to London in 1999
200|BACKWORDS|Sloop (pools)|Ed leaves pools of water on the carpet when he comes in from sailing this boat
300|BACKWORDS|Evian (naive)|You'd be naive to think you can make bottled water that's more popular than this
400|BACKWORDS|Dew (wed)|Aye, lass, I'll wed thee ere this has dried on the fields
500|BACKWORDS|Wonk (know)|You know so much about policy, you qualify as this
100|GETTING POSSESSIVE|Mrs. O'Leary's cow|This bovine took the rap for the disastrous fire of October 8, 1871
200|GETTING POSSESSIVE|Pike's Peak|At 14,140 feet, this Rocky Mountain peak discovered in 1806 is one of Colorado's highest
300|GETTING POSSESSIVE|Adam's rib|While one creation slept, God took this to make Eve
400|GETTING POSSESSIVE|Martha's Vineyard|You'll find this triangular island about 4 miles off the southeast coast of Massachusetts
